,HANDLE,bldg_price,VB,new_construction_price,NC,side_lot_price,SL,vacant_lot_price,VL
12069,13726000180,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12070,13726000190,0.0,N/A,1770.62499375,"$1,770.62",-2.0,Ineligible: frontage > 25 ft,4216.62557,"$4,216.63"
12071,13726000200,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12072,13726000210,0.0,N/A,2187.5,"$2,187.50",-2.0,Ineligible: frontage > 25 ft,5528.946589,"$5,528.95"
12073,13726000220,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12074,13726000230,0.0,N/A,1625.0,"$1,625.00",-2.0,Ineligible: frontage > 25 ft,3621.5747409999994,"$3,621.57"
12075,13726000240,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12076,13726000250,0.0,N/A,1593.75,"$1,593.75",-2.0,Ineligible: frontage > 25 ft,1832.636203,"$1,832.64"
12077,13726000260,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12078,13726000270,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12079,13726000280,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12080,13726000290,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12081,13726000320,0.0,N/A,1875.0,"$1,875.00",-2.0,Ineligible: frontage > 25 ft,4309.493295,"$4,309.49"
12082,13726000330,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12083,13726000340,0.0,N/A,1875.0,"$1,875.00",-2.0,Ineligible: frontage > 25 ft,4014.802507,"$4,014.80"
12084,13726000350,0.0,N/A,3000.0,"$3,000.00",-2.0,Ineligible: frontage > 25 ft,6880.625848000001,"$6,880.63"
12085,13726000360,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12086,13726000390,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12087,13726000400,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12088,13727000170,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,4017.580827,"$4,017.58"
12089,13727000200,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12090,13727000210,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,4010.7069020000004,"$4,010.71"
12091,13727000220,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12092,13727000230,0.0,N/A,6412.49990625,"$6,412.50",-2.0,Ineligible: frontage > 25 ft,6784.816640000001,"$6,784.82"
12093,13727000240,0.0,N/A,4126.2497875,"$4,126.25",-2.0,Ineligible: frontage > 25 ft,4120.926503,"$4,120.93"
12094,13727000250,0.0,N/A,1562.5,"$1,562.50",586.25,$586.25,4122.672232,"$4,122.67"
12095,13727000260,0.0,N/A,3125.0,"$3,125.00",-2.0,Ineligible: frontage > 25 ft,8244.56327,"$8,244.56"
12096,13727000270,0.0,N/A,1750.0,"$1,750.00",-2.0,Ineligible: frontage > 25 ft,4616.482497,"$4,616.48"
12097,13727000280,0.0,N/A,2387.5000499999996,"$2,387.50",-2.0,Ineligible: frontage > 25 ft,6298.9772920000005,"$6,298.98"
12098,13727000290,0.0,N/A,1562.5,"$1,562.50",586.25,$586.25,4121.168096,"$4,121.17"
12099,13727000300,0.0,N/A,3171.875,"$3,171.88",-2.0,Ineligible: frontage > 25 ft,8365.145316,"$8,365.15"
12100,13727000310,0.0,N/A,1201.8749687499999,"$1,201.87",450.94348827499994,$450.94,3169.232563,"$3,169.23"
12101,13727000320,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12102,13727000331,0.0,N/A,1562.5,"$1,562.50",586.25,$586.25,4119.519668,"$4,119.52"
12103,13727000332,0.0,N/A,1203.125,"$1,203.12",451.41249999999997,$451.41,3172.367831,"$3,172.37"
12104,13727000333,0.0,N/A,1203.125,"$1,203.12",451.41249999999997,$451.41,3172.246447,"$3,172.25"
12105,13727000360,0.0,N/A,1562.5,"$1,562.50",586.25,$586.25,4119.004215999999,"$4,119.00"
12106,13727000370,0.0,N/A,2187.5,"$2,187.50",-2.0,Ineligible: frontage > 25 ft,5766.172299,"$5,766.17"
